hop,system,task_id,success,m1_recall,m3_integration_error,m5_explore_found_build_failed,tokens
2,build_only,musique_2hop_001,False,0.0,,False,1005080
2,build_only,musique_2hop_002,False,0.0,,False,297064
2,build_only,musique_2hop_003,True,0.0,,False,40659
3,build_only,musique_3hop_004,True,0.0,,False,58055
3,build_only,musique_3hop_005,False,0.0,,False,24761
3,build_only,musique_3hop_006,False,0.0,,False,69133
4,build_only,musique_4hop_007,False,0.0,,False,72526
4,build_only,musique_4hop_008,True,0.0,,False,54550
4,build_only,musique_4hop_009,False,0.0,,False,25114
4,build_only,musique_4hop_010,True,0.0,,False,24240
2,build_explore,musique_2hop_001,False,0.0,0.1,False,285579
2,build_explore,musique_2hop_002,True,1.0,0.1,False,44009
2,build_explore,musique_2hop_003,True,1.0,0.1,False,84672
3,build_explore,musique_3hop_004,False,0.0,0.1,False,83455
3,build_explore,musique_3hop_005,True,0.6666666666666666,0.1,False,167800
3,build_explore,musique_3hop_006,True,1.0,0.1,False,63727
4,build_explore,musique_4hop_007,True,0.75,0.1,False,77833
4,build_explore,musique_4hop_008,True,0.75,0.1,False,152500
4,build_explore,musique_4hop_009,False,0.75,0.1,True,209333
4,build_explore,musique_4hop_010,True,0.75,0.1,False,131461
2,build_explore_general,musique_2hop_001,False,0.0,0.3,False,0
2,build_explore_general,musique_2hop_002,True,1.0,0.3,False,58279
2,build_explore_general,musique_2hop_003,True,0.0,0.3,False,96894
3,build_explore_general,musique_3hop_004,True,0.6666666666666666,0.3,False,94547
3,build_explore_general,musique_3hop_005,False,1.0,0.3,True,179684
3,build_explore_general,musique_3hop_006,False,1.0,0.3,True,131928
4,build_explore_general,musique_4hop_007,True,0.5,0.3,False,148771
4,build_explore_general,musique_4hop_008,True,1.0,0.3,False,228986
4,build_explore_general,musique_4hop_009,False,0.75,0.3,True,249931
4,build_explore_general,musique_4hop_010,True,0.5,0.3,False,72456
2,build_explore_table,musique_2hop_001,False,0.0,0.3,False,0
2,build_explore_table,musique_2hop_002,True,0.0,0.3,False,60643
2,build_explore_table,musique_2hop_003,True,1.0,0.3,False,107533
3,build_explore_table,musique_3hop_004,True,0.6666666666666666,0.3,False,94222
3,build_explore_table,musique_3hop_005,False,0.6666666666666666,0.3,True,106073
3,build_explore_table,musique_3hop_006,False,1.0,0.3,True,114926
4,build_explore_table,musique_4hop_007,True,0.5,0.3,False,81776
4,build_explore_table,musique_4hop_008,True,0.5,0.3,False,218245
4,build_explore_table,musique_4hop_009,False,1.0,0.3,True,176570
4,build_explore_table,musique_4hop_010,True,1.0,0.3,False,167281
